,question,contexts,answer,ground_truth,answer_correctness,answer_relevancy,context_precision,context_recall,faithfulness
0,How are medical records used for organ transplant purposes?,"[""# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness • To help pay your medical bills given to us by healthcare providers. • To help your healthcare providers give you the proper care. For example, if you are • • • • • • in the hospital, we may give them your records sent to us by your doctor. To help manage your healthcare. For example, we might talk to your doctor about a disease or wellness program that could help improve your health. To help resolve any appeals or grievances filed by you or a healthcare provider with California Health & Wellness or the State of California. To assist others who help us provide your health services. We will not share your records with these outside groups unless they agree to protect your records. For public health or disaster relief efforts. To remind you if you have a doctor's visit coming up. To give you information about other healthcare treatments and programs, such as how to stop smoking or lose weight.\n\n## State and federal laws may call for us to give your health records to others for the following reasons:\n\n• To state and federal agencies that oversee California Health & Wellness, such as DHCS or the U.S. Department of Health and Human Services. • • For public health actions. For example, the FDA may need to check or track medicines and medical device problems. To public health groups if we believe there is a serious public health or safety threat. • To a health agency for certain activities. This might include audits, inspections, and licensure or enforcement actions. • To a court or administrative agency. • To law enforcement. For example, records may be used to identify or find someone who is a suspect, fugitive, material witness or missing person. • To a government person about child abuse, neglect or violence in your home. • To a coroner or medical examiner to identify a dead person or help find a cause of death. These may be needed by a funeral director to help them carry out their duties. • For organ transplant purposes. • For special government roles, such as military and veteran activities, national security and intelligence activities, and to help protect the President and others.California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number).www.CAHealth Wellness.com 130""]","Your medical records can be used for organ transplant purposes. This is because the information in your records is crucial for determining your suitability as an organ donor and recipient.  The records help assess your overall health, identify any potential complications, and ensure a successful transplant procedure. 
",The answer to given question is not present in context,0.17342883482670907,0.9735424587431568,0.0,1.0,0.2
1,What services are provided by California Health & Wellness for choosing a Primary Care Provider (PCP)?,"['# california health & wellness.\n\nYou can choose any PCP in our network if they are taking new patients. You can choose a different PCP for each family member. When picking a PCP, look for one of the following kinds of providers: Pediatricians • • Family/General Practitioners • Internal Medicine • Obstetricians/Gynecologists • Registered Nurse Practitioners • Physician Assistants (under the supervision of a physician) • Certified Nurse Midwives You may also choose a doctor within a local Federally Qualified Health Center (FQHC) for your primary care. Women can have OB/GYNs as their PCP, children can have pediatricians and those with HIV/AIDS can have HIV/AIDS specialists if they are available. Specialists can be your PCP for special needs upon request. If you are a Native American, you can get services at any Indian Health Service Facility. You can also leave California Health & Wellness at any time and get services through the Medi-Cal Fee-For-Service Program. You also have the right not to enroll in a Medi-Cal managed care plan. You will only be able to see your assigned Primary Care Physician (PCP) listed on your ID Card for most services. Your PCP will also arrange any specialty care for you. Some members may be assigned to a PCP that is part of an Independent Practice Association (IPA). An IPA is a group of doctors that work together to provide the care you need. If you are assigned to an IPA, in order for services to be covered, all medical and hospital services must be provided or authorized by the IPA. For some services, such as Family Planning or reproductive health visits, you do not need to get approval from your PCP, your IPA or California Health & Wellness to see another provider. If you would like to select a different PCP, a copy of our Provider Directory is included in this packet. You can also find the most up-to-date listing of providers on our website, www.CAHealthWellness.com. Go to “Find a Provider.” There you will see contact information, specialties, what language they speak and hospital affiliation. If you need help, you can call our Member Services Department.California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com14']","California Health & Wellness provides you with the freedom to choose any Primary Care Provider (PCP) within their network, as long as they are accepting new patients. You can even select a different PCP for each family member.  To help you make an informed decision, they offer a comprehensive Provider Directory, both in the enrollment packet and online at www.CAHealthWellness.com. This directory provides contact information, specialties, language spoken, and hospital affiliations for each provider. 
","California Health & Wellness provides various services for choosing a Primary Care Provider (PCP), including managing healthcare services, providing most healthcare needs, including preventive services, referring to specialists when needed, and approving and arranging necessary hospital care. The PCP also ensures timely access to medically necessary services and follows up on care received from other providers.",0.7747256618023703,0.949258172060505,0.9999999999,0.8,1.0
2,What does California Health & Wellness cover in terms of emergency services?,"['# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness If you are outside of the California Health & Wellness service area and need urgent care, you must call California Health & Wellness within 24 hours of receiving urgent services or as soon as you are able to.\n\n## How do I get emergency care?\n\nIf you think you have a health emergency, call 911. You are not required to call your doctor before you go to the emergency room. Do not use the emergency room for routine (regular) healthcare. California Health & Wellness covers emergency medical services 24 hours a day, 7 days a week, whether provided inside or outside of the California Health & Wellness service area. Emergency services do not need approval from California Health & Wellness and are provided at no cost to you. Emergency services include treatment of an injury or an onset of what reasonably appears to be an emergency medical condition. An emergency arises when the lack of medical attention could be expected to result in jeopardy to your health or, in the case of a pregnant woman, the health of her unborn child. It is okay if the hospital does not belong to the California Health & Wellness network. You can use any hospital if it is an emergency. You or someone acting on your behalf MUST call your PCP and California Health & Wellness within 24 hours of admission or as soon as reasonably possible. This helps your PCP to provide or arrange for any follow-up care that you may need. We will help you get follow-up care. Call Member Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877-658- 0305).California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com27']","California Health & Wellness covers emergency medical services 24 hours a day, 7 days a week, regardless of whether you are within or outside of the California Health & Wellness service area. This means that you can receive emergency care at any hospital, even if it's not part of the California Health & Wellness network, without needing prior approval from the plan. Emergency services are provided at no cost to you. 
",California Health & Wellness covers emergency services in an emergency room or urgent care center if the individual reasonably believed they had an emergency medical condition. They also cover the doctor's screening exam to determine if there is a medical emergency.,0.6485537991261705,0.9856976144847867,0.9999999999,1.0,1.0
3,What is the importance of scheduling a checkup with your doctor?,"[""# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness\n\n## Section 4: How to Obtain Care\n\nWhen you enroll in California Health & Wellness, you will receive a California Health & Wellness Member ID card within seven (7) calendar days of enrollment. Please show this card every time you go for any service under the California Health & Wellness program. You should keep this card with you at all times. This card is proof that you are enrolled with California Health & Wellness. The California Health & Wellness Member ID card will show your name, Medi-Cal ID#, and PCP name and number. If you do not get your California Health & Wellness Member ID card within a few weeks after you join our health plan, please call Member Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877-658-0305). We will send you another card.\n\n### How do I get care from my PCP?\n\nYour PCP's name and phone number will be on your California Health & Wellness Member ID card. Call your PCP during his/her business hours to schedule your annual checkup or when you are feeling sick.\n\n### Making Your First Doctor's Appointment\n\nOnce you choose a PCP, make an appointment within 120 days (which is about 4 months) of enrolling for your first checkup. For children ages 18 months or younger, this appointment should be made within 60 days (which is about 2 months) of enrolling. This first checkup is called an “Initial Health Assessment.” As this first visit, your PCP will also check to see if you need to see a dentist. If needed, your PCP will refer you to Denti-Cal which is California's fee- for-service dental provider. This first checkup will give you and your doctor a chance to get to know each other. Your doctor can give you medical care, advice and information about your health. Call your PCP's office to schedule your first checkup. Don't wait until you are sick. Remember to take your California Health & Wellness Member ID card with you every time you go to the doctor's office. If you have difficulty getting an appointment with or seeing your doctor, please call Member Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877-658-0305). California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com 19""]","Scheduling a checkup with your doctor is crucial for maintaining good health. It allows your doctor to monitor your overall well-being, identify any potential health issues early on, and provide personalized advice and care. Regular checkups can help prevent serious health problems and ensure you receive the necessary medical attention to stay healthy. 
","Scheduling a checkup with your doctor is important for receiving medical care, advice, and information about your health. It is recommended to schedule your first checkup with your primary care physician (PCP) to address any health concerns before they escalate. Additionally, having regular checkups can help in early detection and prevention of potential health issues. Remember to bring your California Health & Wellness Member ID card for every doctor's visit.",0.763231398728411,0.9871114982134274,0.9999999999,0.75,1.0
4,What options are available for receiving emergency care through California Health & Wellness?,"[""# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness • Receive emergency or urgently needed services outside the California Health & Wellness network or when authorized by California Health & Wellness. • Receive emergency care whenever necessary and wherever you need it. • Receive Sensitive Services such as family planning or mental healthcare in a confidential way. • Access minor consent services. • Choose a primary care provider within the California Health & Wellness network. To have a confidential relationship with your provider. • • Receive information from California Health & Wellness that you can understand. • Upon request, receive Member information materials in alternative formats including Braille, large print and audio. • Make recommendations about California Health & Wellness's Member rights and responsibilities policies. • Participate with your providers and other practitioners in decision-making about your own healthcare. • Talk openly with your provider and other practitioners about your medical condition and appropriate or medically necessary treatment options for your condition, regardless of the cost or what your benefits are. • Decide about your care, including the decision to stop treatment or services, or stop participating in health management programs. • Decide in advance how you want to be cared for in case you have a life-threatening illness or injury.California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com111""]","California Health & Wellness members have access to emergency care whenever and wherever they need it. This means you can receive emergency services outside of the California Health & Wellness network or when authorized by the plan.  You are also entitled to receive emergency care regardless of your location. 
","The options available for receiving emergency care through California Health & Wellness include receiving emergency or urgently needed services outside the network or when authorized by California Health & Wellness, as well as receiving emergency care whenever necessary and wherever needed.",0.9913550531366417,0.9453984075242907,0.9999999999,1.0,1.0
5,What is the importance of choosing a Primary Care Provider (PCP) in California Health & Wellness?,"[""# Section 3: Choosing Your PCP and setting up Your Medical Home\n\n## Importance of Your Primary Care Provider (PCP)\n\nAt California Health & Wellness, we believe you and your family are best served when your primary care provider (PCP) works with you to actively direct your healthcare needs. That is why we want you to choose a PCP you are comfortable with and can best meet you and your family's needs. Your PCP can be a doctor, nurse practitioner, certified nurse midwife or physician assistant who you see on a regular basis to take care of your medical needs. You should receive all of your basic medical care from your PCP. Your PCP: • Manages your healthcare services • Provides most of your healthcare, including preventive services • Refers you to a specialist when you need one • Approves and arranges for needed hospital care Your PCP has a responsibility to: • Make sure you get all medically necessary services in a timely manner. • Follow-up on the care you get from other medical providers. • Take care of referrals for specialty care and services. • Provide any ongoing care you need. • Update your medical record, including keeping track of all the care that you get. • Provide services in the same manner for patients. • Give you regular physical exams. • Provide preventive care. • Give you regular immunizations. • Make sure you can contact him/her or another doctor at all times. • Discuss what advance directives are and file your advance directives appropriately in your medical record. Your PCP serves as the foundation of your medical home.California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number).www.CAHealth Wellness.com 12""]","Choosing a Primary Care Provider (PCP) in California Health & Wellness is crucial because your PCP acts as the central point of contact for your healthcare needs. They manage your overall healthcare services, provide most of your basic medical care, including preventive services, and refer you to specialists when necessary.  Your PCP ensures you receive timely and appropriate care, coordinates your treatment with other providers, and keeps your medical records up-to-date. 
","Choosing a Primary Care Provider (PCP) in California Health & Wellness is important because your PCP is your medical home and will manage most of your healthcare services, helping to keep you healthy.",0.9094896183580887,0.9926831106751225,0.9999999999,1.0,1.0
6,How can your doctor provide you with medical care and advice?,"['# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness you their point of view. This may help you decide if certain services or methods are best for you. You can get a second opinion from a network provider for certain services. Some of the reasons you can request a second opinion may include, but are not limited to: • Surgery • Treatment or diagnoses of serious or life-threatening conditions • • • Complex cases or cases with conflicting test results Cases where you – the Member – does not respond well after an appropriate amount of time You have concerns about the initial diagnosis or plan of care To get a second opinion, you can request to be referred to doctors specializing in that area of medicine. Your PCP or California Health & Wellness Member Services staff can help you find a doctor to give you a second opinion. You may choose any California Health & Wellness network provider. Once you decide who you want to see, ask your PCP to refer you. Then make an appointment to see this doctor if the service does not require a prior approval. If the second opinion is different from the first opinion, you or California Health & Wellness can ask for a third opinion. If you are unable to find a doctor in-network, we will help you find a doctor outside the network. If you need to see an out-of-network provider for the second opinion, it must be prior approved by California Health & Wellness. There is no cost to you for a second or third opinion if California Health & Wellness approves it first. Most of the time, the second opinion must be from a doctor in our network. However, if there is not a doctor in our network qualified to see you, we will authorize a second opinion from a provider outside of our network. If you do not know which doctor to see for a second opinion, ask your PCP or call Member Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877-658-0305) for help. California Health & Wellness will let your PCP and/or specialist know when your request for a second opinion is approved. For a routine condition, we will let your PCP and/or specialist know within five (5) business days of your request. If we do not have all of the information we need to California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com 25']","Your doctor can provide you with medical care and advice by following the guidelines of the California Health & Wellness plan. This includes offering you a second opinion from a network provider for certain services, such as surgery or treatment for serious conditions. You can request a second opinion if you have concerns about the initial diagnosis or plan of care. Your primary care physician (PCP) or California Health & Wellness Member Services staff can help you find a doctor to give you a second opinion. 
","Your doctor can provide you with medical care, advice, and information about your health. It is important to schedule regular checkups with your primary care physician (PCP) and not wait until you are sick. Remember to bring your California Health & Wellness Member ID card to every doctor's appointment. If you have difficulty getting an appointment or seeing your doctor, you can contact Member Services at 1-877-658-0305 for assistance.",0.4603401143357283,0.8921631603980233,0.9999999999,0.5,0.8
7,What services does California Health & Wellness cover in terms of emergency medical care?,"['# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness If you are outside of the California Health & Wellness service area and need urgent care, you must call California Health & Wellness within 24 hours of receiving urgent services or as soon as you are able to.\n\n## How do I get emergency care?\n\nIf you think you have a health emergency, call 911. You are not required to call your doctor before you go to the emergency room. Do not use the emergency room for routine (regular) healthcare. California Health & Wellness covers emergency medical services 24 hours a day, 7 days a week, whether provided inside or outside of the California Health & Wellness service area. Emergency services do not need approval from California Health & Wellness and are provided at no cost to you. Emergency services include treatment of an injury or an onset of what reasonably appears to be an emergency medical condition. An emergency arises when the lack of medical attention could be expected to result in jeopardy to your health or, in the case of a pregnant woman, the health of her unborn child. It is okay if the hospital does not belong to the California Health & Wellness network. You can use any hospital if it is an emergency. You or someone acting on your behalf MUST call your PCP and California Health & Wellness within 24 hours of admission or as soon as reasonably possible. This helps your PCP to provide or arrange for any follow-up care that you may need. We will help you get follow-up care. Call Member Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877-658- 0305).California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com27']","California Health & Wellness covers emergency medical services 24 hours a day, 7 days a week, regardless of whether you are within or outside of the California Health & Wellness service area. This means that you can receive emergency care at any hospital, even if it's not part of the California Health & Wellness network, without needing prior approval from the plan. Emergency services are provided at no cost to you. 
","California Health & Wellness covers emergency medical services 24 hours a day, 7 days a week, whether provided inside or outside of the California Health & Wellness service area. Emergency services do not need approval from California Health & Wellness and are provided at no cost to you. Emergency services include treatment of an injury or an onset of what reasonably appears to be an emergency medical condition.",0.9125074365457783,0.9827755324519097,0.9999999999,1.0,1.0
8,How does California Health & Wellness address fraud and abuse within their healthcare benefits system?,"['# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\n## Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness\n\n### Eliminating Fraud, Waste and Abuse\n\nCalifornia Health & Wellness is serious about finding and reporting fraud and abuse. Our staff is available to talk to you about this. Here is the address and phone numbers: California Health & Wellness Compliance Department 1740 Creekside Oaks Drive, Suite 200 Sacramento, CA 95833 Or you can call the California Health & Wellness Fraud, Waste and Abuse Hotline at 1-866-685- 8664. You can also report fraud and abuse to the Bureau of Medi-Cal Fraud. The address and number are: Office of the Attorney General Bureau of Medi-Cal Fraud Unit P.O. Box 944255 Sacramento, CA 94244-2550 Phone: 1-800-722-0432 Your healthcare benefits are given to you based on your eligibility for both Medi-Cal and the California Medi-Cal Managed Care Program. You must not share your benefits with anyone. California Health & Wellness network providers must also report any misuse of benefits to California Health & Wellness. California Health & Wellness must also report any misuse or wrongful use of benefits to Medi-Cal. If you misuse your benefits, you could lose them. Medi- Cal may also take legal action against you if you misuse your benefits. If you think a doctor, hospital, another California Health & Wellness Member or another person is misusing the Medi-Cal or California Health & Wellness resources, tell us right away. We will take action against anyone who does this. California Health & Wellness will take your call about waste, abuse and fraud seriously. Call the California Health & Wellness Fraud, Waste and Abuse Hotline at 1-866-685-8664. You do not need to give your name. California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com 101\n\n## Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness If you receive a bill for services that you did not receive, please call Member Services at 1-877- 658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877-658-0305).\n\n### What is Fraud, Waste and Abuse?\n\nFraud, waste and abuse means that any Member, provider or another person is misusing Medi- Cal or California Health & Wellness resources. This could include things like: • • Loaning, selling or giving your California Health & Wellness Member ID card or Medi-Cal ID card to someone Misusing California Health & Wellness or Medi-Cal benefits • Billing California Health & Wellness for free services • Wrongful billing to California Health & Wellness by a provider • Billing California Health & Wellness for services not provided • Any action to defraud California Health & Wellness or Medi-CalCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number).www.CAHealth Wellness.com 102']","California Health & Wellness takes fraud and abuse very seriously. They have a dedicated Compliance Department and a Fraud, Waste and Abuse Hotline (1-866-685-8664) to address these issues.  They encourage members to report any suspected misuse of benefits, including loaning or selling their Member ID card, misusing benefits, or billing for services not provided.  They also work with Medi-Cal to investigate and take action against any individuals or providers who engage in fraudulent activities. 
","California Health & Wellness addresses fraud and abuse within their healthcare benefits system by being serious about finding and reporting fraud and abuse. They have a Compliance Department available to talk to individuals about this issue. Additionally, they have a Fraud, Waste and Abuse Hotline at 1-866-685-8664 for reporting such incidents. California Health & Wellness network providers are required to report any misuse of benefits, and the organization must also report any misuse or wrongful use of benefits to Medi-Cal. Misuse of benefits can result in loss of benefits and potential legal action.",0.6511664143553464,0.9649151979439231,0.9999999999,1.0,1.0
9,What is included in the Combined Evidence of Coverage & Disclosure Form provided by California Health & Wellness?,"[""# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\ncalifornia health & wellness • Understand that your provider's office may have limited seating for patients and caregivers only. • Give accurate information (to the extent possible) to California Health & Wellness, your doctor and any other provider in order to help you receive the best care possible. • • Understand your health problems and work with your provider and other practitioners in developing mutually agreed-upon treatment goals, to the degree possible. Ask your providers questions if you do not understand what they are saying to you. • Work with your provider to make plans for your healthcare. • • • • Follow California Health & Wellness and instructions for care that you have agreed on with your providers and other practitioners. Immunize your children by age 2 and always keep your children's immunizations up to date. Call your provider when you need routine or urgent healthcare. Care for your own health. Live a healthy lifestyle, exercise, eat a good diet and don't smoke. • Avoid knowingly spreading disease to others. • • • Use the California Health & Wellness grievance process to file a complaint. Call California Health & Wellness Member Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877- 658-0305) to file a complaint. Report any wrongdoing or fraud to California Health & Wellness by calling Member Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services number: 1-877-658-0305) or the proper authorities. Understand that there are risks in receiving healthcare and limits to what can be done for you medically.California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com114\n\n# Member Handbook Combined Evidence of Coverage & Disclosure Form\n\n• california health & wellness Understand that it is a healthcare provider's duty to be efficient and fair in caring for you as well as other patients.California Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealth Wellness.com115""]","The Combined Evidence of Coverage & Disclosure Form provided by California Health & Wellness is a comprehensive document that outlines the details of your health plan. It includes information about your benefits, coverage, and how to access care. This document also provides details on how to file a grievance or report fraud. 
",The answer to given question is not present in context,0.1773014402667065,0.9924688103097089,0.0,1.0,0.2857142857142857
