,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,How are medical records used for organ transplant purposes?,"['\uf0b7 For public health actions. For example, the FDA may need to check or track \nmedicines and medical device problems. \uf0b7 To public health groups if we believe there is a serious public health or safety threat. \uf0b7 To a health agency for certain activities. This might include audits, inspections, and \nlicensure or enforcement actions. \uf0b7 To a court or administrative agency. \uf0b7 To law enforcement. For example, records may be used to identify or find someone \nwho is a suspect, fugitive, material witness or missing person. \uf0b7 To a government person about child abuse, neglect or violence in your home. \uf0b7 To a coroner or medical examiner to identify a dead person or help find a cause of \ndeath. These may be needed by a funeral director to help them carry out their duties. \uf0b7 For organ transplant purposes. \uf0b7 For special government roles, such as military and veteran activities, national security \nand intelligence activities, and to help protect the President and others. ']",The answer to given question is not present in context,simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 130, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
1,What services are provided by California Health & Wellness for choosing a Primary Care Provider (PCP)?,"['           \n \n                \n \n \n \n \nCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 \n1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealthWellness.com \n12 \nSection 3: Choosing Your PCP and setting up Your Medical Home \n \nImportance of Your Primary Care Provider (PCP) \nAt California Health & Wellness, we believe you and your family are best served when your \nprimary care provider (PCP) works with you to actively direct your healthcare needs. That is \nwhy we want you to choose a PCP you are comfortable with and can best meet you and your \nfamily’s needs. Your PCP can be a doctor, nurse practitioner, certified nurse midwife or physician assistant who \nyou see on a regular basis to take care of your medical needs. You should receive all of your \nbasic medical care from your PCP. Your PCP: \n \n\uf0b7 Manages your healthcare services  \n\uf0b7 Provides most of your healthcare, including preventive services  \n\uf0b7 Refers you to a specialist when you need one \n\uf0b7 Approves and arranges for needed hospital care  \n \nYour PCP has a responsibility to:   \n \n\uf0b7 Make sure you get all medically necessary services in a timely manner. \uf0b7 Follow-up on the care you get from other medical providers.', '           \n \n                \n \n \n \n \nCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 \n1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealthWellness.com \n14 \nYou can choose any PCP in our network if they are taking new patients. You can choose a \ndifferent PCP for each family member. When picking a PCP, look for one of the following kinds \nof providers: \n \n\uf0b7 Pediatricians \n\uf0b7 Family/General Practitioners \n\uf0b7 Internal Medicine \n\uf0b7 Obstetricians/Gynecologists \n\uf0b7 Registered Nurse Practitioners \n\uf0b7 Physician Assistants (under the supervision of a physician) \n\uf0b7 Certified Nurse Midwives \n \nYou may also choose a doctor within a local Federally Qualified Health Center (FQHC) for your \nprimary care. Women can have OB/GYNs as their PCP, children can have pediatricians and \nthose with HIV/AIDS can have HIV/AIDS specialists if they are available. Specialists can be \nyour PCP for special needs upon request. If you are a Native American, you can get services at any Indian Health Service Facility. You \ncan also leave California Health & Wellness at any time and get services through the Medi-Cal \nFee-For-Service Program. You also have the right not to enroll in a Medi-Cal managed care \nplan. You will only be able to see your assigned Primary Care Physician (PCP) listed on your ID Card \nfor most services. Your PCP will also arrange any specialty care for you. Some members may \nbe assigned to a PCP that is part of an Independent Practice Association (IPA). An IPA is a \ngroup of doctors that work together to provide the care you need. If you are assigned to an IPA, \nin order for services to be covered, all medical and hospital services must be provided or \nauthorized by the IPA. For some services, such as Family Planning or reproductive health visits, \nyou do not need to get approval from your PCP, your IPA or California Health & Wellness to see \nanother provider. If you would like to select a different PCP, a copy of our Provider Directory is included in this \npacket. You can also find the most up-to-date listing of providers on our website, \nwww.CAHealthWellness.com. Go to “Find a Provider.” There you will see contact information, \nspecialties, what language they speak and hospital affiliation. If you need help, you can call our \nMember Services Department.']","California Health & Wellness provides various services for choosing a Primary Care Provider (PCP), including managing healthcare services, providing most healthcare needs, including preventive services, referring to specialists when needed, and approving and arranging necessary hospital care. The PCP also ensures timely access to medically necessary services and follows up on care received from other providers.",simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 12, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}, {'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 14, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
2,What does California Health & Wellness cover in terms of emergency services?,"[' \nCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 \n1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealthWellness.com \n63 \n \nMember Handbook \nCombined Evidence of \nCoverage & Disclosure Form \nEmergency Medical Care \n \nIn an emergency, call 911 right away or go to the nearest hospital. You must let California \nHealth & Wellness know about the emergency within 24 hours, or as soon as possible. We only \ncover emergency services in an emergency room or urgent care center if you have reasonably \nbelieved you had an emergency medical condition. We will cover the doctor’s screening exam \nto see if you have a medical emergency. If you need follow-up services after your emergency \ncare, your PCP or California Health & Wellness must approve it. Emergency Hospitalization \n \nIf you are hospitalized because of an emergency medical condition, California Health & \nWellness may transfer you to a network hospital as soon as the treating doctor says it is safe to \ndo so. If you want to stay in a hospital that is not a network hospital after your condition is stable as \ndetermined by the treating doctor, we will not cover the non-emergency follow-up services that \nyou receive from the non-network providers or in a non-network facility. Enteral Nutrition \n \nEnteral nutrition is a way to provide food, such as formula, orally (by mouth) or through a tube \nplaced in the nose, stomach or small intestine. We cover enteral nutrition products (such as formula), when there is a medical need.']",California Health & Wellness covers emergency services in an emergency room or urgent care center if the individual reasonably believed they had an emergency medical condition. They also cover the doctor's screening exam to determine if there is a medical emergency.,simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 63, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
3,What is the importance of scheduling a checkup with your doctor?,"[""Your \ndoctor can give you medical care, advice and information about your health. Call your PCP’s \noffice to schedule your first checkup. Don’t wait until you are sick. Remember to take your \nCalifornia Health & Wellness Member ID card with you every time you go to the doctor's office. If you have difficulty getting an appointment with or seeing your doctor, please call \nMember Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and \nprovide the Member Services number: 1-877-658-0305). ""]","Scheduling a checkup with your doctor is important for receiving medical care, advice, and information about your health. It is recommended to schedule your first checkup with your primary care physician (PCP) to address any health concerns before they escalate. Additionally, having regular checkups can help in early detection and prevention of potential health issues. Remember to bring your California Health & Wellness Member ID card for every doctor's visit.",simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 19, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
4,What options are available for receiving emergency care through California Health & Wellness?,"[' \nCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 \n1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealthWellness.com \n111 \n \nMember Handbook \nCombined Evidence of \nCoverage & Disclosure Form \n\uf0b7 Receive emergency or urgently needed services outside the California Health & \nWellness network or when authorized by California Health & Wellness. \uf0b7 Receive emergency care whenever necessary and wherever you need it.']","The options available for receiving emergency care through California Health & Wellness include receiving emergency or urgently needed services outside the network or when authorized by California Health & Wellness, as well as receiving emergency care whenever necessary and wherever needed.",simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 111, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
5,What is the importance of choosing a Primary Care Provider (PCP) in California Health & Wellness?,"['           \n \n                \n \n \n \n \nCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 \n1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealthWellness.com \n8 \nSection 1: Six Key Tips \n \nNow that you are a Member of California Health & Wellness, there are a few important basic \nsteps you can take to help keep yourself healthy. Tip #1 \nChoose your Primary Care Provider (PCP) \nYour PCP is your medical home and will manage most of your healthcare \nservices.']","Choosing a Primary Care Provider (PCP) in California Health & Wellness is important because your PCP is your medical home and will manage most of your healthcare services, helping to keep you healthy.",simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 8, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
6,How can your doctor provide you with medical care and advice?,"[""Your \ndoctor can give you medical care, advice and information about your health. Call your PCP’s \noffice to schedule your first checkup. Don’t wait until you are sick. Remember to take your \nCalifornia Health & Wellness Member ID card with you every time you go to the doctor's office. If you have difficulty getting an appointment with or seeing your doctor, please call \nMember Services at 1-877-658-0305 (For TTY, contact California Relay by dialing 711 and \nprovide the Member Services number: 1-877-658-0305). ""]","Your doctor can provide you with medical care, advice, and information about your health. It is important to schedule regular checkups with your primary care physician (PCP) and not wait until you are sick. Remember to bring your California Health & Wellness Member ID card to every doctor's appointment. If you have difficulty getting an appointment or seeing your doctor, you can contact Member Services at 1-877-658-0305 for assistance.",simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 19, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
7,What services does California Health & Wellness cover in terms of emergency medical care?,"['If you think you have a health emergency, call 911. You are not required to call your \ndoctor before you go to the emergency room. Do not use the emergency room for routine \n(regular) healthcare. California Health & Wellness covers emergency medical services 24 hours a day, 7 days a week, \nwhether provided inside or outside of the California Health & Wellness service area. Emergency \nservices do not need approval from California Health & Wellness and are provided at no cost to \nyou. Emergency services include treatment of an injury or an onset of what reasonably appears to be \nan emergency medical condition. An emergency arises when the lack of medical attention could \nbe expected to result in jeopardy to your health or, in the case of a pregnant woman, the health of \nher unborn child. It is okay if the hospital does not belong to the California Health & Wellness network. You can \nuse any hospital if it is an emergency. You or someone acting on your behalf MUST call your \nPCP and California Health & Wellness within 24 hours of admission or as soon as reasonably \npossible. This helps your PCP to provide or arrange for any follow-up care that you may need. We will help you get follow-up care. Call Member Services at 1-877-658-0305 (For TTY, \ncontact California Relay by dialing 711 and provide the Member Services number: 1-877-658-\n0305). ']","California Health & Wellness covers emergency medical services 24 hours a day, 7 days a week, whether provided inside or outside of the California Health & Wellness service area. Emergency services do not need approval from California Health & Wellness and are provided at no cost to you. Emergency services include treatment of an injury or an onset of what reasonably appears to be an emergency medical condition.",simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 27, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
8,How does California Health & Wellness address fraud and abuse within their healthcare benefits system?,"[' \nCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 \n1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealthWellness.com \n101 \n \nMember Handbook \nCombined Evidence of \nCoverage & Disclosure Form \nEliminating Fraud, Waste and Abuse \n \nCalifornia Health & Wellness is serious about finding and reporting fraud and abuse. Our staff is \navailable to talk to you about this. Here is the address and phone numbers: \n \nCalifornia Health & Wellness \nCompliance Department \n1740 Creekside Oaks Drive, Suite 200 \nSacramento, CA 95833 \n \nOr you can call the California Health & Wellness Fraud, Waste and Abuse Hotline at 1-866-685-\n8664. You can also report fraud and abuse to the Bureau of Medi-Cal Fraud. The address and number \nare: \n \nOffice of the Attorney General  \nBureau of Medi-Cal Fraud Unit  \nP.O. Box 944255 \nSacramento, CA 94244-2550 \nPhone: 1-800-722-0432 \n \nYour healthcare benefits are given to you based on your eligibility for both Medi-Cal and the \nCalifornia Medi-Cal Managed Care Program. You must not share your benefits with anyone. California Health & Wellness network providers must also report any misuse of benefits to \nCalifornia Health & Wellness. California Health & Wellness must also report any misuse or \nwrongful use of benefits to Medi-Cal. If you misuse your benefits, you could lose them. Medi-\nCal may also take legal action against you if you misuse your benefits. If you think a doctor, hospital, another California Health & Wellness Member or another person \nis misusing the Medi-Cal or California Health & Wellness resources, tell us right away. We will \ntake action against anyone who does this. California Health & Wellness will take your call about \nwaste, abuse and fraud seriously. Call the California Health & Wellness Fraud, Waste and \nAbuse Hotline at 1-866-685-8664. You do not need to give your name.']","California Health & Wellness addresses fraud and abuse within their healthcare benefits system by being serious about finding and reporting fraud and abuse. They have a Compliance Department available to talk to individuals about this issue. Additionally, they have a Fraud, Waste and Abuse Hotline at 1-866-685-8664 for reporting such incidents. California Health & Wellness network providers are required to report any misuse of benefits, and the organization must also report any misuse or wrongful use of benefits to Medi-Cal. Misuse of benefits can result in loss of benefits and potential legal action.",simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 101, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
9,What is included in the Combined Evidence of Coverage & Disclosure Form provided by California Health & Wellness?,"[' \nCalifornia Health & Wellness, 1740 Creekside Oaks Drive, Suite 200, Sacramento, CA 95833 \n1-877-658-0305 (For TTY, contact California Relay by dialing 711 and provide the 1-877-658-0305 number). www.CAHealthWellness.com \n102 \n \nMember Handbook \nCombined Evidence of \nCoverage & Disclosure Form \nIf you receive a bill for services that you did not receive, please call Member Services at 1-877-\n658-0305 (For TTY, contact California Relay by dialing 711 and provide the Member Services \nnumber: 1-877-658-0305). What is Fraud, Waste and Abuse?']",The answer to given question is not present in context,simple,"[{'source': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'file_path': 'docs/CHW_EOC_04-21-2017_ENG.pdf', 'page': 102, 'total_pages': 134, 'format': 'PDF 1.5', 'title': '', 'author': 'PTN Consulting', 'subject': '', 'keywords': '', 'creator': 'Microsoft® Word 2013', 'producer': 'Microsoft® Word 2013', 'creationDate': ""D:20170421101839-07'00'"", 'modDate': ""D:20170421103401-07'00'"", 'trapped': ''}]",True
